Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Tunisia,TUN,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.8325728447538,49.8990005287696,49.9833816322791,50.0702956160101,50.1404694929133,50.181917487496,50.1897545677166,50.1713522929734,50.1410875047986,50.1173643284715,50.1124747102228,50.1291851886197,50.1611597073328,50.2007269651111,50.2371370849785,50.2630233597411,50.2782519672575,50.2857283784784,50.2862631634357,50.2815277238391,50.2731548593984,50.2606532633862,50.245159127189,50.2315443458667,50.225184348444,50.2295489925084,50.2444314561044,50.2676563386888,50.2975445326993,50.3314119196135,50.3671030265178,50.404355748577,50.4418869368012,50.474753448582,50.497250420276,50.5058956319723,50.499998111647,50.4809784740353,50.4501116840602,50.4093425274042,50.360457861673,50.3027338914009,50.2370365852954,50.1685623394088,50.1042577346188,50.0486208364327,50.0051121381569,49.9720662231874,49.9429013123624,49.9084383153562,49.8628193332641,49.8035537939756,49.7347329347405,49.6650719363342,49.6066823372453,49.5675338827514,49.5501569275568,49.550730060372,49.5628481402358,,
Tunisia,TUN,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.1674271552462,50.1009994712304,50.0166183677209,49.9297043839899,49.8595305070867,49.818082512504,49.8102454322834,49.8286477070266,49.8589124952015,49.8826356715285,49.8875252897771,49.8708148113804,49.8388402926672,49.7992730348889,49.7628629150215,49.7369766402589,49.7217480327425,49.7142716215216,49.7137368365643,49.7184722761609,49.7268451406016,49.7393467366138,49.754840872811,49.7684556541333,49.774815651556,49.7704510074915,49.7555685438956,49.7323436613112,49.7024554673007,49.6685880803865,49.6328969734822,49.5956442514231,49.5581130631988,49.525246551418,49.502749579724,49.4941043680277,49.500001888353,49.5190215259647,49.5498883159398,49.5906574725958,49.6395421383269,49.6972661085991,49.7629634147046,49.8314376605912,49.8957422653812,49.9513791635673,49.9948878618431,50.0279337768126,50.0570986876376,50.0915616846438,50.1371806667359,50.1964462060244,50.2652670652595,50.3349280636658,50.3933176627547,50.4324661172486,50.4498430724432,50.449269939628,50.4371518597642,,
Tunisia,TUN,"Population, total",SP.POP.TOTL,4178236,4238142,4305481,4380068,4461114,4547941,4641000,4740511,4845219,4953390,5063809,5176295,5291338,5409343,5530975,5656914,5786478,5919965,6060151,6210756,6374039,6551231,6740529,6937331,7135270,7329594,7517858,7700736,7880332,8060210,8242496,8427857,8613861,8795932,8967916,9125398,9267340,9395123,9509857,9613588,9708350,9793903,9871251,9945277,10022277,10106771,10201214,10304726,10414433,10525694,10635244,10741880,10847002,10952951,11063201,11179949,11303946,11433443,11565204,,
Tunisia,TUN,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,,,,,,,,,,,,,,,,1.2,,,,,1.8,,,,2.84173,,,,,,,,,,,,,,,,,,,,,,,,11.29507,,12.50063,13.2653,12.35314,,,,15.15784,,,,
Tunisia,TUN,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,,,,,,,,,,,,,,1.90473,,,,,2.9297,,,,4.3269,,,,,,,,,,,,,,,,,,,,,,,,13.22932,,14.244,15.1931,13.9353,,,,15.53762,,,,
Tunisia,TUN,Children out of school (% of primary school age),SE.PRM.UNER.ZS,,,,,,,,,,,,22.18276,,,,24.27693,,,22.15769,20.71774,18.65276,16.92446,14.33739,11.2859,8.44209,7.60683,6.72152,6.18006,5.84792,5.45744,6.21383,5.21763,4.83857,4.00957,4.00213,3.77189,4.73575,5.86223,,5.85882,4.76522,2.91512,0.72505,1.03282,1.23545,1.25941,1.47901,2.45415,2.09801,1.46857,1.16414,1.17532,1.46083,1.15617,,,,,,,
Tunisia,TUN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,77.81724,,,,75.72307,,,77.84231,79.28226,81.34724,83.07554,85.66261,88.7141,91.55791,92.39317,93.27848,93.81994,94.15208,94.54256,93.78617,94.78237,95.16143,95.99043,95.99787,96.22811,95.26425,94.13777,,94.14118,95.23478,97.08488,99.27495,98.96718,98.76455,98.74059,98.52099,97.54585,97.90199,98.53143,98.83586,98.82468,98.53917,98.84383,,,,,,,
Tunisia,TUN,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.68197,,73.17222,74.26429,74.71682,,,,74.21968,,,,
Tunisia,TUN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,56.92109,53.93115,59.997,60.71926,66.41641,65.0008,67.41941,70.86166,59.45674,61.40461,81.5801,62.88096,63.45082,67.07488,67.64175,70.67913,72.01274,71.68447,76.37142,81.1267,74.99287,69.52683,73.8449,80.2478,89.96349,87.05095,89.257,,87.51793,86.63253,87.87538,93.22085,97.03581,100.49605,103.30936,,102.61705,92.16459,88.64514,98.96886,,,96.80472,99.71773,103.31141,99.01363,95.05378,,,
Tunisia,TUN,"Compulsory education, duration (years)",SE.COM.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,
